system:index,B10,B2,B3,B4,B5,B6,B7,Hillshade,MNDWI,NDVI,id,slope,.geo,Class,Sensor,B10_normalized
55_0,288.17432,0.13267851,0.11325731,0.09813271,0.0936353,0.09372991,0.076082096,185,0.09434108,-0.023452342,-1987199376,3.9878452,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.04205508419264,-43.57786763565134]}",BareSurface,LT04,0.5870010536619698
56_0,291.71045,0.1553193,0.13475917,0.12825532,0.110799395,0.123418644,0.095323,203,0.043925263,-0.07302064,-208526527,33.404068,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.18153249111586,-43.62217096597017]}",BareSurface,LT04,0.6621348649075317
57_0,298.47803,0.15673436,0.14090256,0.1255169,0.110799395,0.1165674,0.08890936,237,0.0945165,-0.062278867,-1875119058,27.385061,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.18461272106322,-43.61435943948282]}",BareSurface,LT04,0.8059288086565586
58_0,293.86685,0.1666397,0.13783087,0.12825532,0.110799395,0.11428365,0.08890936,226,0.09339889,-0.07302064,197210733,29.037355,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.219407485573,-43.56868135301326]}",BareSurface,LT04,0.7079529062606305
59_0,289.51324,0.1439989,0.11632901,0.10360955,0.083336845,0.08459492,0.066461645,188,0.1579408,-0.108441256,-1962541670,2.9748008,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.23365351926506,-43.558512996244545]}",BareSurface,LT04,0.6154497143596553
60_0,286.81927,0.1581494,0.13783087,0.12004007,0.10050094,0.102864906,0.08249573,187,0.14527036,-0.08859634,-421126061,6.2916903,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.23828054928785,-43.54503765300179]}",BareSurface,LT04,0.5582096712952863
61_0,285.4475,0.1439989,0.12861578,0.11456323,0.10050094,0.1394049,0.08890936,155,-0.04025477,-0.06538647,-391792135,31.958502,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.28616934405878,-43.54642718849758]}",BareSurface,LT04,0.5290630312531138
62_0,293.86685,0.21616647,0.2207666,0.21314633,0.19661987,0.21248485,0.16907977,255,0.019115347,-0.04033144,-284892921,48.75457,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.37600405781407,-43.549924175401706]}",BareSurface,LT04,0.7079529062606305
63_0,291.27435,0.18220526,0.16547611,0.15563951,0.14169477,0.16680987,0.13059796,255,-0.0040138867,-0.046899218,-2071921793,41.982586,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.44085765038142,-43.48461876085739]}",BareSurface,LT04,0.6528688438381178
64_0,287.72446,0.15107416,0.13475917,0.11730164,0.10393376,0.10514866,0.08890936,204,0.123424545,-0.060423803,158069481,5.8129177,"{""geodesic"":false,""type"":""Point"",""coordinates"":[170.45423210747535,-43.48252234747641]}",BareSurface,LT04,0.5774426674242101
